Size,Repetition,AVL_Time_us,Treap_Time_us
32768,41,0.311,0.341
32768,42,0.318,0.436
32768,43,0.327,0.487
32768,44,2.055,0.350
32768,45,0.338,0.346
32768,46,1.490,0.482
32768,47,0.303,0.347
32768,48,0.430,0.468
32768,49,0.274,0.599
32768,50,0.339,0.356
65536,1,0.372,0.474
65536,2,0.368,0.548
65536,3,0.883,0.453
65536,4,0.435,3.072
65536,5,0.457,0.822
65536,6,0.460,0.772
65536,7,1.958,0.477
65536,8,0.969,0.560
65536,9,0.563,0.423
65536,10,2.352,0.485
65536,11,0.607,0.655
65536,12,0.397,1.026
65536,13,1.988,0.457
65536,14,0.349,0.405
65536,15,1.874,2.378
65536,16,0.421,0.488
65536,17,0.475,3.338
65536,18,3.495,0.964
65536,19,2.850,0.586
65536,20,2.570,1.065
65536,21,1.959,0.607
65536,22,0.537,3.136
65536,23,2.676,0.469
65536,24,0.585,0.457
65536,25,2.343,0.430
65536,26,0.921,0.443
65536,27,0.456,0.607
65536,28,0.495,2.184
65536,29,1.970,0.438
65536,30,0.443,0.608
65536,31,3.510,2.477
65536,32,0.866,0.444
65536,33,1.238,2.261
65536,34,6.285,1.055
65536,35,0.530,0.704
65536,36,0.588,0.528
65536,37,0.418,0.496
65536,38,0.734,1.972
65536,39,0.346,0.485
65536,40,0.425,0.463
65536,41,0.427,0.441
65536,42,0.423,2.665
65536,43,0.361,0.418
65536,44,0.340,0.531
65536,45,1.562,0.457
65536,46,0.353,0.442
65536,47,0.434,2.038
65536,48,2.840,0.419
65536,49,0.343,0.764
65536,50,0.935,0.412
131072,1,1.252,0.729
131072,2,0.508,0.771
131072,3,1.631,2.374
131072,4,0.438,4.690
131072,5,0.396,2.071
131072,6,2.398,0.975
131072,7,2.662,0.684
131072,8,0.682,1.105
131072,9,0.545,0.587
131072,10,0.403,0.585
131072,11,0.400,2.248
131072,12,0.686,2.018
131072,13,0.408,3.020
131072,14,8.701,0.717
131072,15,0.678,1.216
131072,16,0.554,3.514
131072,17,0.547,2.416
131072,18,0.508,1.136
131072,19,0.511,0.606
131072,20,0.488,0.720
131072,21,0.810,0.727
131072,22,0.581,0.932
131072,23,0.448,3.194
131072,24,1.260,0.857
