Size,Repetition,AVL_Time_ms,Treap_Time_ms
8192,34,0.000424,0.000823
8192,35,0.000421,0.000848
8192,36,0.000411,0.000881
8192,37,0.000606,0.001821
8192,38,0.000907,0.001348
8192,39,0.000432,0.001198
8192,40,0.000464,0.001011
8192,41,0.000552,0.000988
8192,42,0.000416,0.000920
8192,43,0.000422,0.000900
8192,44,0.000410,0.000799
8192,45,0.000437,0.000819
8192,46,0.000430,0.001620
8192,47,0.000430,0.001389
8192,48,0.000417,0.001556
8192,49,0.000437,0.000955
8192,50,0.001034,0.000900
16384,1,0.000718,0.001031
16384,2,0.000551,0.001147
16384,3,0.000569,0.001171
16384,4,0.000560,0.001095
16384,5,0.000543,0.001311
16384,6,0.000518,0.001067
16384,7,0.000486,0.000973
16384,8,0.000524,0.001053
16384,9,0.000544,0.001026
16384,10,0.000514,0.000963
16384,11,0.000765,0.002487
16384,12,0.000487,0.001047
16384,13,0.000476,0.001642
16384,14,0.001197,0.002458
16384,15,0.001713,0.001372
16384,16,0.000672,0.000945
16384,17,0.000511,0.001061
16384,18,0.000485,0.000986
16384,19,0.000460,0.000919
16384,20,0.000592,0.002396
16384,21,0.000637,0.001369
16384,22,0.000457,0.000911
16384,23,0.000506,0.002358
16384,24,0.000531,0.000984
16384,25,0.000420,0.001074
16384,26,0.000688,0.001102
16384,27,0.000540,0.001467
16384,28,0.000489,0.001117
16384,29,0.000499,0.001022
16384,30,0.000684,0.001041
16384,31,0.000517,0.001097
16384,32,0.000491,0.001101
16384,33,0.000504,0.001167
16384,34,0.000722,0.001019
16384,35,0.000497,0.001054
16384,36,0.000832,0.001130
16384,37,0.000845,0.001364
16384,38,0.000637,0.001146
16384,39,0.000616,0.001027
16384,40,0.000841,0.001560
16384,41,0.001152,0.001060
16384,42,0.000521,0.001130
16384,43,0.000496,0.001232
16384,44,0.000477,0.000976
16384,45,0.000584,0.004577
16384,46,0.001308,0.001025
16384,47,0.000462,0.001164
16384,48,0.000488,0.003484
16384,49,0.003998,0.001673
16384,50,0.001152,0.001656
32768,1,0.004451,0.003140
32768,2,0.000657,0.002028
32768,3,0.001086,0.001611
32768,4,0.000625,0.001515
32768,5,0.000605,0.001510
32768,6,0.000620,0.001510
32768,7,0.000566,0.004589
32768,8,0.000608,0.001409
32768,9,0.000738,0.001587
32768,10,0.000603,0.003250
32768,11,0.000650,0.002269
32768,12,0.000630,0.001508
32768,13,0.001272,0.004148
32768,14,0.001353,0.002238
32768,15,0.000613,0.001467
32768,16,0.000672,0.002660
32768,17,0.000757,0.001480
32768,18,0.000571,0.001432
32768,19,0.000604,0.001539
32768,20,0.000705,0.001514
32768,21,0.000632,0.003032
32768,22,0.000679,0.001502
32768,23,0.000596,0.001553
32768,24,0.000615,0.001519
32768,25,0.000643,0.001553
32768,26,0.000581,0.003606
32768,27,0.000666,0.001478
32768,28,0.000605,0.001675
32768,29,0.000611,0.002186
32768,30,0.000591,0.001568
32768,31,0.000578,0.001493
32768,32,0.000616,0.001556
32768,33,0.000623,0.002992
32768,34,0.000605,0.002905
32768,35,0.000635,0.001429
32768,36,0.001627,0.001649
32768,37,0.000821,0.001940
32768,38,0.001086,0.001439
32768,39,0.000619,0.001478
32768,40,0.000629,0.007758
32768,41,0.000600,0.003823
32768,42,0.000616,0.001421
32768,43,0.000594,0.002084
32768,44,0.001645,0.001626
32768,45,0.000617,0.002196
32768,46,0.001155,0.001554
32768,47,0.000571,0.001464
32768,48,0.000699,0.002131
32768,49,0.000544,0.001772
32768,50,0.000633,0.001490
65536,1,0.000641,0.001489
65536,2,0.000645,0.001890
65536,3,0.000865,0.003562
65536,4,0.000749,0.007804
65536,5,0.000865,0.001734
65536,6,0.000991,0.001990
65536,7,0.003062,0.002949
65536,8,0.000874,0.002088
65536,9,0.001002,0.001747
65536,10,0.002186,0.004357
65536,11,0.000826,0.001745
65536,12,0.000776,0.004184
65536,13,0.004025,0.001853
65536,14,0.000730,0.001935
65536,15,0.002746,0.021931
65536,16,0.000857,0.002212
65536,17,0.001039,0.009825
65536,18,0.003506,0.012395
65536,19,0.001989,0.002108
65536,20,0.003569,0.005355
65536,21,0.000782,0.001987
65536,22,0.000898,0.011627
65536,23,0.004496,0.002345
65536,24,0.001369,0.002010
65536,25,0.004947,0.001802
65536,26,0.000622,0.004193
65536,27,0.000901,0.002086
65536,28,0.002423,0.006082
65536,29,0.003960,0.001853
65536,30,0.000796,0.004374
65536,31,0.000879,0.012070
65536,32,0.001895,0.001726
65536,33,0.000790,0.011893
65536,34,0.005230,0.002057
65536,35,0.000872,0.003158
65536,36,0.001007,0.001812
65536,37,0.000866,0.006598
65536,38,0.001416,0.001960
65536,39,0.000679,0.004126
65536,40,0.000840,0.001872
