Size,Repetition,AVL_Time_us,Treap_Time_us
131072,20,1.415,3.990
131072,21,0.831,4.372
131072,22,0.754,2.053
131072,23,1.568,1.927
131072,24,0.695,8.527
131072,25,3.238,4.067
131072,26,0.700,8.633
131072,27,0.841,3.756
131072,28,3.418,2.265
131072,29,0.756,2.569
131072,30,0.818,3.937
131072,31,1.481,2.926
131072,32,0.883,2.263
131072,33,7.124,3.298
131072,34,1.991,8.771
131072,35,2.384,2.141
131072,36,4.642,3.074
131072,37,0.912,1.766
131072,38,0.752,5.090
131072,39,0.806,1.957
131072,40,3.140,1.937
131072,41,0.751,2.127
131072,42,0.725,6.247
131072,43,0.683,3.541
131072,44,1.145,2.212
131072,45,0.707,2.056
131072,46,1.965,3.645
131072,47,1.014,1.919
131072,48,0.847,6.104
131072,49,0.767,2.149
131072,50,0.704,4.151
262144,1,1.167,2.768
262144,2,3.064,2.434
262144,3,1.509,2.668
262144,4,1.439,5.700
262144,5,0.945,12.298
262144,6,1.720,2.628
262144,7,1.118,3.242
262144,8,1.152,2.571
262144,9,1.136,4.284
262144,10,0.899,2.450
262144,11,0.988,2.553
262144,12,1.087,9.933
262144,13,0.926,2.406
262144,14,1.837,2.711
262144,15,1.329,4.899
262144,16,0.994,9.476
262144,17,1.975,4.296
262144,18,1.496,3.474
262144,19,1.043,3.169
262144,20,1.587,2.689
262144,21,0.977,2.364
262144,22,1.396,2.541
262144,23,1.415,4.333
262144,24,1.892,7.208
262144,25,1.014,8.026
262144,26,1.038,8.423
262144,27,3.331,4.594
262144,28,0.984,5.230
262144,29,1.752,2.836
262144,30,2.355,8.308
262144,31,1.512,4.418
262144,32,0.907,2.393
262144,33,1.032,2.624
262144,34,1.154,4.587
262144,35,2.283,2.382
262144,36,2.209,2.503
262144,37,4.087,2.495
262144,38,1.097,5.441
262144,39,2.656,2.580
262144,40,1.033,2.381
262144,41,1.000,8.166
262144,42,5.461,3.011
262144,43,1.051,3.236
262144,44,0.883,5.357
262144,45,0.984,6.742
262144,46,0.918,2.582
262144,47,1.016,3.253
262144,48,0.971,2.746
262144,49,1.241,2.426
262144,50,1.373,2.956
