Size,DataType,Structure,Test,Time_us
131072,random,BST,7,0.661
131072,random,AVL,7,0.433
131072,random,Array,7,101.911
131072,sorted,AVL,7,1.251
131072,sorted,Array,7,0.489
131072,random,BST,8,1.001
131072,random,AVL,8,0.412
131072,random,Array,8,96.969
131072,sorted,AVL,8,0.999
131072,sorted,Array,8,0.639
131072,random,BST,9,0.585
131072,random,AVL,9,0.440
131072,random,Array,9,99.388
131072,sorted,AVL,9,1.299
131072,sorted,Array,9,0.933
131072,random,BST,10,1.149
131072,random,AVL,10,1.263
131072,random,Array,10,156.773
131072,sorted,AVL,10,0.684
131072,sorted,Array,10,0.462
262144,random,BST,1,1.315
262144,random,AVL,1,1.130
262144,random,Array,1,196.853
262144,sorted,AVL,1,0.918
262144,sorted,Array,1,0.531
262144,random,BST,2,1.516
262144,random,AVL,2,0.948
262144,random,Array,2,246.775
262144,sorted,AVL,2,8.187
262144,sorted,Array,2,0.533
262144,random,BST,3,8.577
262144,random,AVL,3,1.296
262144,random,Array,3,330.171
262144,sorted,AVL,3,1.793
262144,sorted,Array,3,0.613
262144,random,BST,4,0.751
262144,random,AVL,4,0.549
262144,random,Array,4,259.756
262144,sorted,AVL,4,0.880
262144,sorted,Array,4,0.527
262144,random,BST,5,1.589
262144,random,AVL,5,0.998
262144,random,Array,5,344.734
262144,sorted,AVL,5,3.463
262144,sorted,Array,5,1.890
262144,random,BST,6,0.739
262144,random,AVL,6,0.643
262144,random,Array,6,257.141
262144,sorted,AVL,6,1.359
262144,sorted,Array,6,0.786
262144,random,BST,7,0.767
262144,random,AVL,7,2.118
262144,random,Array,7,389.589
262144,sorted,AVL,7,0.922
262144,sorted,Array,7,0.482
262144,random,BST,8,1.868
262144,random,AVL,8,3.002
262144,random,Array,8,282.941
262144,sorted,AVL,8,0.939
262144,sorted,Array,8,0.489
262144,random,BST,9,3.704
262144,random,AVL,9,1.099
262144,random,Array,9,370.618
262144,sorted,AVL,9,1.745
262144,sorted,Array,9,0.547
262144,random,BST,10,0.883
262144,random,AVL,10,1.050
262144,random,Array,10,327.452
262144,sorted,AVL,10,0.878
262144,sorted,Array,10,0.527
524288,random,BST,1,1.712
524288,random,AVL,1,0.992
524288,random,Array,1,541.887
524288,sorted,AVL,1,1.533
524288,sorted,Array,1,1.021
524288,random,BST,2,2.764
524288,random,AVL,2,1.969
524288,random,Array,2,659.358
524288,sorted,AVL,2,1.118
524288,sorted,Array,2,0.610
524288,random,BST,3,1.819
524288,random,AVL,3,5.090
524288,random,Array,3,489.531
524288,sorted,AVL,3,1.751
524288,sorted,Array,3,0.928
524288,random,BST,4,4.584
524288,random,AVL,4,0.780
524288,random,Array,4,618.348
524288,sorted,AVL,4,1.260
524288,sorted,Array,4,0.617
524288,random,BST,5,5.980
524288,random,AVL,5,1.500
524288,random,Array,5,654.452
524288,sorted,AVL,5,1.203
524288,sorted,Array,5,0.611
524288,random,BST,6,1.637
524288,random,AVL,6,0.743
524288,random,Array,6,692.389
524288,sorted,AVL,6,1.866
524288,sorted,Array,6,0.754
524288,random,BST,7,2.908
524288,random,AVL,7,2.165
524288,random,Array,7,781.963
524288,sorted,AVL,7,1.363
524288,sorted,Array,7,0.623
524288,random,BST,8,1.251
524288,random,AVL,8,1.332
524288,random,Array,8,550.630
524288,sorted,AVL,8,2.464
524288,sorted,Array,8,1.091
524288,random,BST,9,2.016
524288,random,AVL,9,3.776
524288,random,Array,9,476.677
524288,sorted,AVL,9,1.439
524288,sorted,Array,9,0.720
524288,random,BST,10,1.957
524288,random,AVL,10,0.817
524288,random,Array,10,522.796
524288,sorted,AVL,10,1.792
524288,sorted,Array,10,0.837
