Size,DataType,Structure,Test,Time_us
524288,random,BST,2,3.946
524288,random,AVL,2,3.165
524288,sorted,AVL,2,1.040
524288,random,BST,3,1.998
524288,random,AVL,3,6.786
524288,sorted,AVL,3,2.875
524288,random,BST,4,4.806
524288,random,AVL,4,1.120
524288,sorted,AVL,4,1.081
524288,random,BST,5,5.182
524288,random,AVL,5,2.576
524288,sorted,AVL,5,1.318
524288,random,BST,6,1.869
524288,random,AVL,6,1.118
524288,sorted,AVL,6,2.199
524288,random,BST,7,2.204
524288,random,AVL,7,3.698
524288,sorted,AVL,7,1.124
524288,random,BST,8,1.414
524288,random,AVL,8,1.675
524288,sorted,AVL,8,2.095
524288,random,BST,9,1.721
524288,random,AVL,9,7.987
524288,sorted,AVL,9,2.018
524288,random,BST,10,2.232
524288,random,AVL,10,1.443
524288,sorted,AVL,10,1.873
